Date,Open,High,Low,Close,Adj Close,Volume
2019-12-02,33.470001,33.880001,33.389999,33.590000,32.233234,11664800
2019-12-03,33.790001,34.020000,33.549999,33.689999,32.345798,14647300
2019-12-04,33.799999,34.560001,33.700001,34.560001,33.181091,16864100
2019-12-05,34.599998,35.099998,34.480000,34.700001,33.315502,17488200
2019-12-06,34.700001,35.020000,34.279999,34.310001,32.941067,19718900
2019-12-09,34.349998,34.700001,34.000000,34.599998,33.219494,19813800
2019-12-10,34.599998,34.810001,34.299999,34.480000,33.104275,21860000
2019-12-11,34.599998,34.830002,33.970001,34.279999,32.912266,25691600
2019-12-12,34.450001,34.779999,34.250000,34.740002,33.353905,14115400
2019-12-13,34.799999,35.279999,34.599998,34.799999,33.952679,23335200
2019-12-16,35.000000,35.169998,34.189999,34.189999,33.357525,26849600
2019-12-17,34.500000,35.029999,34.250000,34.820000,33.972191,20612100
2019-12-18,34.820000,35.980000,34.720001,35.790001,34.918583,48614700
2019-12-19,35.700001,36.450001,35.680000,36.450001,35.562511,32951700
2019-12-20,35.830002,35.930000,35.459999,35.689999,35.308628,22379200
2019-12-23,35.689999,35.919998,35.480000,35.910000,35.526276,10267900
2019-12-26,35.930000,36.490002,35.820000,36.360001,35.971466,10453500
2019-12-27,36.500000,36.650002,36.099998,36.220001,35.832962,10404000
2019-12-30,36.360001,36.490002,35.959999,36.169998,35.783489,7455500
2020-01-02,36.529999,37.509998,36.200001,37.509998,37.109173,18806600
2020-01-03,36.900002,38.000000,36.880001,37.509998,37.126244,30051900
2020-01-06,37.200001,37.279999,36.439999,36.840000,36.463108,25300900
2020-01-07,36.750000,36.959999,36.000000,36.200001,35.829655,14857300
2020-01-08,36.369999,36.520000,35.459999,35.639999,35.275387,21266800
2020-01-09,35.779999,35.889999,34.720001,35.070000,34.711205,23124900
2020-01-10,35.110001,35.380001,34.349998,34.430000,34.077759,19870000
2020-01-13,34.779999,34.950001,34.570000,34.799999,34.443970,16318400
2020-01-14,34.830002,34.849998,34.340000,34.759998,34.404381,14231300
2020-01-15,34.580002,34.619999,33.869999,34.150002,33.800625,21264300
2020-01-16,34.279999,34.900002,34.150002,34.639999,34.285614,24654400
2020-01-17,34.849998,35.560001,34.779999,35.450001,35.087330,22535700
2020-01-20,35.259998,35.349998,34.610001,34.759998,34.404381,14011700
2020-01-21,34.500000,34.669998,33.590000,33.599998,33.256248,23482400
2020-01-22,34.000000,34.139999,33.540001,33.720001,33.375027,17860200
2020-01-23,33.490002,34.959999,33.349998,34.610001,34.255928,29248100
2020-01-24,34.720001,34.880001,33.959999,34.349998,33.998581,13412200
2020-01-27,33.980000,34.070000,33.430000,33.560001,33.216660,14253400
2020-01-28,33.849998,34.029999,33.380001,33.599998,33.256248,12507200
2020-01-29,33.860001,33.919998,33.000000,33.119999,32.781166,16164300
2020-01-30,32.720001,33.529999,32.570000,33.450001,33.107788,15806900
2020-01-31,33.040001,33.279999,32.619999,32.889999,32.553509,17359700
2020-02-03,32.990002,33.490002,32.810001,33.099998,32.761372,15142300
2020-02-04,33.750000,33.759998,33.040001,33.099998,32.778454,20571100
2020-02-05,34.020000,34.599998,33.689999,33.740002,33.412235,39346600
2020-02-06,34.000000,34.270000,33.169998,33.349998,33.026016,23419700
2020-02-07,33.200001,34.200001,33.160000,33.730000,33.402328,22761900
2020-02-10,33.849998,34.459999,33.520000,34.090000,33.758831,24456100
2020-02-11,34.520000,34.869999,34.110001,34.389999,34.055916,27205900
2020-02-12,34.380001,34.520000,33.599998,33.930000,33.600391,49260400
2020-02-13,33.689999,33.689999,33.029999,33.279999,32.956703,19204300
2020-02-14,33.270000,33.320000,32.400002,32.529999,32.213982,22115300
2020-02-17,32.630001,32.700001,32.259998,32.259998,31.946609,10809200
2020-02-18,32.020000,32.369999,31.680000,32.070000,31.815865,26155200
2020-02-19,31.889999,33.000000,31.820000,32.529999,32.272221,27194500
2020-02-20,32.849998,32.849998,32.009998,32.060001,31.805950,20948900
2020-02-21,31.900000,32.049999,31.510000,31.809999,31.557930,16212100
2020-02-26,null,null,null,null,null,null
2020-02-27,29.709999,31.110001,29.709999,29.969999,29.732506,36056000
2020-02-28,30.070000,30.690001,29.700001,30.530001,30.288071,41908000
2020-03-02,30.549999,31.080000,30.120001,30.940001,30.694822,33342600
2020-03-03,30.600000,31.040001,29.920000,30.120001,29.897989,30969000
2020-03-04,30.580000,30.629999,29.730000,30.450001,30.225559,29293400
2020-03-05,30.150000,30.389999,29.190001,29.450001,29.232927,24099500
2020-03-06,28.549999,29.240000,28.219999,28.610001,28.399120,30164700
2020-03-09,26.670000,27.450001,26.150000,26.549999,26.354303,45857300
2020-03-10,28.000000,28.370001,26.219999,27.190001,26.989586,33279200
2020-03-11,26.500000,26.770000,24.010000,24.990000,24.805799,35481800
2020-03-12,22.000000,22.799999,21.000000,21.639999,21.480494,38685900
2020-03-13,25.700001,25.740000,22.010000,25.290001,25.103592,59674700
2020-03-16,22.400000,24.170000,21.639999,21.680000,21.520201,45995900
2020-03-17,22.350000,24.559999,21.650000,23.420000,23.247374,54246200
2020-03-18,21.799999,22.510000,19.700001,20.690001,20.537497,59141300
2020-03-19,20.000000,21.490000,18.920000,20.750000,20.597054,54410900
2020-03-20,21.530001,21.700001,18.959999,19.240000,19.098183,50369400
2020-03-23,19.500000,19.700001,17.299999,17.670000,17.539759,53271800
2020-03-24,19.010000,20.610001,18.920000,20.330000,20.180149,36848000
2020-03-25,19.990000,23.420000,19.879999,21.850000,21.688946,35713700
2020-03-26,22.200001,23.270000,21.360001,22.309999,22.145554,38332500
2020-03-27,21.200001,21.799999,20.709999,20.860001,20.706244,31769500
2020-03-30,21.139999,21.830000,20.760000,21.510000,21.351452,31866900
2020-03-31,21.250000,21.490000,20.400000,20.770000,20.616907,39086100
2020-04-01,20.000000,20.170000,19.379999,19.860001,19.713614,25611300
2020-04-02,19.850000,20.379999,19.620001,19.950001,19.820164,29931100
2020-04-03,19.799999,19.830000,18.219999,19.209999,19.084982,40896600
2020-04-06,20.639999,21.379999,20.530001,21.030001,20.893137,56656600
2020-04-07,22.500000,22.930000,21.770000,21.820000,21.677998,37092600
2020-04-08,19.909100,20.745501,19.754499,20.363600,20.231073,37210910
2020-04-09,20.636400,21.163601,20.236401,20.354500,20.222031,41548320
2020-04-13,20.336399,20.881800,19.818199,20.881800,20.745903,35536600
2020-04-14,21.500000,22.059999,21.110001,21.110001,20.972616,34432600
2020-04-15,20.740000,21.059999,20.400000,20.500000,20.366583,36230700
2020-04-16,20.820000,20.840000,19.910000,19.969999,19.840033,29284000
2020-04-17,20.480000,20.690001,19.760000,20.360001,20.227495,26737200
2020-04-20,19.879999,20.080000,19.549999,19.700001,19.571793,41960400
2020-04-22,19.500000,20.139999,19.370001,19.629999,19.502247,43366500
2020-04-23,19.900000,20.150000,19.030001,19.350000,19.224068,42673100
2020-04-24,19.030001,19.219999,17.200001,17.840000,17.723894,72942900
2020-04-27,18.639999,19.059999,18.150000,18.360001,18.240515,43960400
2020-04-28,19.549999,20.250000,19.389999,19.969999,19.840033,57299100
2020-04-29,20.530001,20.730000,19.889999,20.639999,20.505674,36957300
2020-04-30,19.049999,19.590000,19.049999,19.150000,19.025372,70325000
2020-05-04,18.709999,18.740000,18.080000,18.299999,18.180901,44358900
2020-05-05,18.500000,19.040001,18.160000,18.299999,18.199774,51359100
2020-05-06,18.340000,18.440001,17.690001,17.920000,17.821854,42069600
2020-05-07,18.049999,18.080000,17.000000,17.150000,17.056070,70500600
2020-05-08,17.639999,18.129999,17.469999,17.920000,17.821854,40080600
2020-05-11,17.799999,18.559999,17.650000,17.650000,17.553335,30701600
2020-05-12,17.920000,17.969999,17.100000,17.100000,17.006348,40746500
2020-05-13,17.280001,17.510000,16.610001,16.950001,16.857166,53750500
2020-05-14,16.670000,17.910000,16.110001,17.879999,17.782072,68452500
2020-05-15,17.740000,18.030001,17.110001,17.110001,17.016293,40369400
2020-05-18,17.950001,18.070000,17.440001,18.010000,17.911362,48012100
2020-05-19,17.940001,18.000000,17.480000,17.480000,17.384266,34829900
2020-05-20,17.600000,17.820000,17.370001,17.660000,17.563278,27881000
2020-05-21,17.799999,18.799999,17.709999,18.639999,18.537910,52239500
2020-05-22,18.430000,19.000000,18.230000,18.750000,18.647306,42955300
2020-05-25,19.590000,20.150000,19.270000,20.080000,19.970026,41760000
